City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,wailua homesteads,22.0669,-159.378,81.03,78,75,4.61,US,1698608421
83,callaway,30.153,-85.5699,84.25,69,0,10.36,US,1698608309
84,taltal,-25.4,-70.4833,64.81,70,29,6.35,CL,1698608422
85,olyokminsk,60.3736,120.4264,17.08,69,23,4.43,RU,1698608422
86,ribeira grande,38.5167,-28.7,63.0,67,20,9.22,PT,1698608423
87,zheleznodorozhnyy,55.7503,38.0042,33.35,97,100,11.01,RU,1698608423
88,archidona,37.0965,-4.3887,58.42,59,100,4.0,ES,1698608423
89,port elizabeth,-33.918,25.5701,57.49,72,20,9.22,ZA,1698608249
90,kuta,-8.7233,115.1723,78.75,94,20,5.01,ID,1698608424
91,puerto ayora,-0.7393,-90.3518,84.16,84,43,8.01,EC,1698608425
92,qui nhon,13.7667,109.2333,76.53,91,93,6.53,VN,1698608425
93,codrington,-38.2667,141.9667,50.16,87,7,14.79,AU,1698608425
94,mejit,10.2753,170.8646,82.74,81,65,21.0,MH,1698608426
95,anshun,26.25,105.9333,53.89,88,13,1.59,CN,1698608427
96,palmer,42.1584,-72.3287,47.86,82,100,6.91,US,1698608386
97,bilibino,68.0546,166.4372,-10.07,92,9,4.88,RU,1698608427
98,at-bashi,41.1702,75.8106,45.73,55,100,0.96,KG,1698608428
99,shalqar,47.8333,59.6,54.46,70,0,17.38,KZ,1698608428
100,kavaratti,10.5669,72.642,83.28,68,98,1.88,IN,1698608429
101,asmar,35.0333,71.3581,64.17,49,0,5.41,AF,1698608429
102,uturoa,-16.7333,-151.4333,78.89,80,15,14.67,PF,1698608429
103,nova sintra,14.8667,-24.7167,73.67,67,73,9.66,CV,1698608430
104,enewetak,11.3474,162.3373,83.8,76,68,19.24,MH,1698608355
105,taksimo,56.3444,114.8794,10.58,64,21,3.69,RU,1698608431
106,san jose de jachal,-30.2406,-68.7469,88.48,5,0,35.5,AR,1698608431
107,port mathurin,-19.6833,63.4167,76.17,79,10,15.08,MU,1698608432
108,thompson,55.7435,-97.8558,24.96,68,75,6.91,CA,1698608432
109,flying fish cove,-10.4217,105.6791,78.48,88,75,9.22,CX,1698608432
110,la ronge,55.1001,-105.2842,32.22,64,75,18.41,CA,1698608433
111,subtanjalla,-14.0189,-75.7581,86.18,40,100,14.47,PE,1698608433
112,hawaiian paradise park,19.5933,-154.9731,82.87,69,20,1.01,US,1698608433
113,kulhudhuffushi,6.6221,73.07,81.3,75,100,6.53,MV,1698608434
114,utrik,11.2278,169.8474,82.83,80,45,19.15,MH,1698608434
115,fort st. john,56.2499,-120.8529,24.69,80,100,6.91,CA,1698608434
116,moorhead,46.8739,-96.7676,30.16,76,20,10.36,US,1698608435
117,santa ana de yacuma,-13.75,-65.4333,89.55,62,75,17.27,BO,1698608435
118,mahina,-17.5065,-149.489,82.17,78,20,5.75,PF,1698608436
119,petra,30.3222,35.4793,62.4,73,77,14.79,JO,1698608436
120,puerto baquerizo moreno,-0.9,-89.6,83.39,65,20,12.66,EC,1698608437
